ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3790044368,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790044921,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790045380,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790045878,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790046370,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790046827,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790047353,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790047811,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790048308,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790048818,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790049278,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790049755,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790050249,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790050711,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790051213,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790051694,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790052164,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790052812,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
3790053325,0,"Tesla V100-SXM2-32GB",comm,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,51194,86510996,Not Supported
