transition,n,api_us_mean,api_us_p50,api_us_p95,api_us_p99,api_us_max,settle_after_call_us_mean,settle_after_call_us_p50,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_max,settle_total_us_mean,settle_total_us_p50,settle_total_us_p95,settle_total_us_p99,settle_total_us_max,polls_mean,polls_p50,polls_p95,polls_p99,polls_max,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_p99,gpu_util_pct_max,pcie_tx_kbps_mean,pcie_tx_kbps_p50,pcie_tx_kbps_p95,pcie_tx_kbps_p99,pcie_tx_kbps_max,pcie_rx_kbps_mean,pcie_rx_kbps_p50,pcie_rx_kbps_p95,pcie_rx_kbps_p99,pcie_rx_kbps_max,power_mw_mean,power_mw_p50,power_mw_p95,power_mw_p99,power_mw_max
975->1252,300,5178.08,4960.0,5776.8,11016.619999999997,11597.0,20802.44,20634.0,22108.6,24029.359999999993,25190.0,25981.6,25600.5,29462.25,31846.75,32329.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7802294.533333333,7800365.0,7919725.0,8045017.3,8123600.0,6847849.766666667,6850725.0,6959586.0,6962755.3,7169280.0,36791.24,36626.0,37112.0,37112.0,37112.0
412->690,300,4424.37,4038.0,8108.800000000001,10516.31,10827.0,20801.446666666667,20682.0,21423.6,23111.699999999997,24302.0,25226.913333333334,24739.5,29352.5,31409.71,31638.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7816595.933333334,7809825.0,7918271.5,7958566.3999999985,8120350.0,6839799.366666666,6846640.0,6956945.0,6961770.3,6962470.0,28215.363333333335,27883.0,28880.400000000005,29325.0,29344.0
1252->1530,300,6245.333333333333,5616.5,10842.7,11898.939999999997,12946.0,20812.01,20630.5,22013.8,22886.619999999995,24098.0,27058.433333333334,26273.0,31527.2,33102.95,33852.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7823536.633333334,7821465.0,7917981.0,7923873.6,8120420.0,6843676.833333333,6846450.0,6959366.5,6965658.8,7000200.0,49236.66,49248.0,49248.0,49734.0,49734.0
690->412,300,4655.1866666666665,4180.0,9084.300000000001,10882.23999999999,12402.0,20784.623333333333,20661.0,22026.25,22732.879999999997,23580.0,25440.94,24862.0,29817.2,32509.08,32987.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7818742.9,7816590.0,7917772.5,7923477.8,8119420.0,6845181.4,6848160.0,6959085.5,6962541.3,7060300.0,26415.88,26422.0,26422.0,26422.0,26422.0
690->975,300,4694.626666666667,4241.0,8319.25,9991.719999999998,10512.0,20727.683333333334,20624.5,21220.800000000003,22693.0,24163.0,25423.443333333333,24893.5,29078.45,30606.309999999998,31261.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7810343.333333333,7810050.0,7917630.0,7923362.0,8072020.0,6840321.933333334,6839025.0,6960801.0,7001701.0,7079680.0,30413.256666666668,30298.0,30785.0,30785.0,30785.0
1252->975,300,5894.616666666667,5404.5,10463.25,11833.659999999996,12506.0,20758.543333333335,20636.0,21418.15,22375.42999999999,25731.0,26654.266666666666,26063.0,31620.2,32868.39,33737.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7830610.6,7842035.0,7920786.0,7925332.4,7929670.0,6846035.5,6849025.0,6961691.5,7000692.999999999,7134820.0,32230.39,32245.0,32245.0,32732.0,32732.0
135->412,300,4441.016666666666,3895.5,9359.45,10547.23,11169.0,20780.33,20700.5,21325.35,22301.43,22554.0,25222.38,24550.0,30610.4,31578.39,31919.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7812603.633333334,7810320.0,7916703.5,7922001.8,7970080.0,6839445.3,6845600.0,6957277.5,6965920.0,7053200.0,25823.536666666667,25935.0,25935.0,25935.0,25935.0
412->135,300,4340.196666666667,3766.5,9578.800000000001,10220.64,10954.0,20754.78,20684.0,21181.55,22251.39,22759.0,25096.1,24453.5,30383.5,31158.25,31644.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7815197.133333334,7807815.0,7919597.0,8078332.6,8119050.0,6839904.066666666,6837925.0,6956222.5,6959383.7,6964550.0,25427.726666666666,25448.0,25448.0,25448.0,25448.0
1530->1252,300,7232.73,6381.5,12126.550000000001,13684.349999999997,14365.0,20701.373333333333,20612.0,21188.05,22120.379999999997,23463.0,27935.22333333333,27022.5,32976.8,34214.46,35467.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7839907.133333334,7854185.0,7924627.5,7937943.499999999,8120500.0,6837432.366666666,6827340.0,6961154.0,6964737.3,6967400.0,40657.03333333333,40519.0,41006.0,41006.0,41493.0
975->690,300,4633.046666666667,4141.0,8602.150000000003,10046.939999999993,11744.0,20730.073333333334,20664.0,21131.1,22068.829999999998,23348.0,25364.133333333335,24837.0,29438.9,30951.189999999995,32434.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,7810737.3,7805215.0,7921954.5,8027106.7,8104420.0,6839606.733333333,6845110.0,6958608.5,6962185.9,6966870.0,28965.76,28838.0,29325.0,29325.19,29344.0
