transition,n,api_us_mean,api_us_p50,api_us_p95,api_us_p99,api_us_max,settle_after_call_us_mean,settle_after_call_us_p50,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_max,settle_total_us_mean,settle_total_us_p50,settle_total_us_p95,settle_total_us_p99,settle_total_us_max,polls_mean,polls_p50,polls_p95,polls_p99,polls_max,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_p99,gpu_util_pct_max,pcie_tx_kbps_mean,pcie_tx_kbps_p50,pcie_tx_kbps_p95,pcie_tx_kbps_p99,pcie_tx_kbps_max,pcie_rx_kbps_mean,pcie_rx_kbps_p50,pcie_rx_kbps_p95,pcie_rx_kbps_p99,pcie_rx_kbps_max,power_mw_mean,power_mw_p50,power_mw_p95,power_mw_p99,power_mw_max
1252->975,300,5430.706666666667,5075.5,8393.2,10236.11,11507.0,20128.02666666667,20030.5,20505.5,22803.489999999998,24011.0,25559.91,25120.0,28607.4,30643.49999999999,34465.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,244492.52,237183.0,256050.0,256100.0,256583.0,214394.56666666668,210058.5,224117.0,224517.0,226533.0,30772.013333333332,30785.0,30785.0,30785.0,30785.0
412->690,300,5872.1033333333335,6051.5,8940.9,10150.259999999998,10736.0,20195.523333333334,20075.5,20785.2,22526.069999999996,24864.0,26068.663333333334,26137.5,29303.65,32099.629999999997,33205.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,244510.73333333334,239241.5,256050.0,256067.0,256100.0,213839.41333333333,205875.0,224100.85,224533.0,226050.0,26580.176666666666,26422.0,27378.0,27396.0,27396.0
975->690,300,5583.083333333333,4677.0,9207.300000000001,10579.199999999997,11159.0,20187.193333333333,20082.5,20615.3,22289.329999999994,22961.0,25771.373333333333,25052.0,29587.100000000002,31856.669999999995,33198.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,243288.58666666667,235458.0,256050.0,256100.0,256500.0,213634.51333333334,207183.5,224100.0,224517.0,224517.0,27390.26,27378.0,27396.0,27865.0,27883.0
690->412,300,5744.01,5333.0,8898.5,9958.699999999999,10286.0,20178.2,20090.5,20579.5,21897.969999999998,22858.0,25923.286666666667,25690.5,29008.4,30308.12,31395.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,244977.77,243408.0,256050.85,256167.0,256567.0,213708.53,205858.5,224100.0,224517.0,224517.0,24927.853333333333,24961.0,24961.0,24961.0,24961.0
1252->1530,300,5439.6466666666665,5266.0,5751.45,10981.199999999997,12342.0,20097.516666666666,19981.5,20619.05,21862.75,23972.0,25538.226666666666,25261.0,27116.55,31212.469999999998,32420.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,245248.10333333333,245791.5,256050.0,256100.0,256133.0,214719.67,213950.0,224117.0,224564.5,226550.0,47080.06333333333,47302.0,47302.0,47302.0,47789.0
1530->1252,300,6860.926666666666,6065.5,12200.25,13012.539999999999,13317.0,20184.97,20023.0,21051.45,21787.09999999999,23567.0,27046.966666666667,26108.5,32607.1,33405.49,33904.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,245406.28666666665,246108.5,256050.0,256100.0,256567.0,214723.64666666667,214183.5,224100.0,224517.33,226550.0,38961.76666666667,39059.0,39059.0,39546.0,39546.0
135->412,300,6607.556666666666,7254.0,9651.75,10196.919999999998,10505.0,20174.806666666667,20093.5,20635.3,21718.23,21937.0,26783.546666666665,27333.5,29981.75,30481.67,30919.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,244309.88333333333,236200.0,256050.0,256121.66,256617.0,214547.34333333332,212908.0,224117.0,224771.5,226050.0,24025.96,23987.0,24474.0,24474.0,24474.0
690->975,300,5416.86,4677.0,8003.200000000001,8571.199999999993,9861.0,20109.25,20050.0,20395.45,21666.31,22863.0,25527.176666666666,24948.0,28148.3,29209.27,30470.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,244011.53333333333,235592.0,256050.0,256117.0,256250.0,214243.12333333332,208891.5,224100.0,224536.83,226550.0,28840.003333333334,28838.0,28838.0,28857.0,29325.0
412->135,300,3880.79,3404.0,8143.6,9292.609999999999,9579.0,20187.316666666666,20125.0,20513.25,21578.41,22003.0,24069.213333333333,23554.5,28513.7,29780.19,30276.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,245060.31666666668,240800.0,256050.0,256550.33,256617.0,215012.57666666666,217767.0,224100.0,224533.17,226567.0,23509.68666666667,23500.0,23500.0,23987.0,23987.0
975->1252,300,4877.7733333333335,4554.0,8122.550000000002,8829.02,9410.0,20083.236666666668,20005.0,20436.2,21568.73,22947.0,24962.12,24580.5,28232.75,29336.329999999998,29910.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,3.0,3.0,244942.40666666668,239466.5,256050.0,256100.17,256567.0,213998.54666666666,206700.0,224100.0,224517.0,226067.0,35167.62,35166.0,35166.0,35166.0,35652.0
