transition,n,api_us_mean,api_us_p50,api_us_p95,api_us_p99,api_us_max,settle_after_call_us_mean,settle_after_call_us_p50,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_max,settle_total_us_mean,settle_total_us_p50,settle_total_us_p95,settle_total_us_p99,settle_total_us_max,polls_mean,polls_p50,polls_p95,polls_p99,polls_max,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_p99,gpu_util_pct_max,pcie_tx_kbps_mean,pcie_tx_kbps_p50,pcie_tx_kbps_p95,pcie_tx_kbps_p99,pcie_tx_kbps_max,pcie_rx_kbps_mean,pcie_rx_kbps_p50,pcie_rx_kbps_p95,pcie_rx_kbps_p99,pcie_rx_kbps_max,power_mw_mean,power_mw_p50,power_mw_p95,power_mw_p99,power_mw_max
412->690,600,4322.36,3840.0,7886.699999999993,10361.08,11542.0,20405.895,20306.0,21043.6,21915.479999999996,23665.0,24729.345,24172.0,28419.74999999999,31228.649999999998,32075.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7716830.716666667,7712255.0,7760538.0,7773534.0,7793520.0,6758862.95,6759410.0,6796114.0,6807182.4,6831400.0,28020.341666666667,27865.0,28838.0,28857.0,28857.0
412->135,600,4540.006666666667,3634.5,8067.049999999999,10256.49,10845.0,20349.896666666667,20304.0,20624.1,21567.14,22504.0,24891.125,24015.5,28447.2,30940.51,31763.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7718450.116666666,7713325.0,7763828.0,7771233.4,7866870.0,6756906.083333333,6757610.0,6792993.0,6806972.5,6813280.0,24964.916666666668,24961.0,24961.0,24961.0,25448.0
135->412,600,4584.945,3709.5,8109.449999999993,10233.439999999999,12419.0,20339.658333333333,20306.5,20583.5,20987.0,21473.0,24925.716666666667,24082.5,28564.799999999996,30872.28,32660.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7718641.566666666,7713610.0,7764190.5,7775385.0,7831220.0,6756120.95,6757445.0,6797425.5,6805402.2,6886670.0,25472.066666666666,25448.0,25472.349999999977,25935.0,25935.0
690->412,350,4343.825714285715,3995.0,7477.000000000002,10818.389999999998,11166.0,20369.817142857144,20327.5,20592.3,21655.859999999997,22716.0,24714.751428571428,24336.0,27828.350000000002,31134.35,31910.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7720306.057142857,7699735.0,7781866.0,7791025.5,7798030.0,6770986.8,6782275.0,6817212.5,6822415.3,6849870.0,26396.822857142855,26422.0,26422.0,26422.0,26422.0
1252->1530,300,5843.99,5398.0,10732.950000000003,12151.249999999998,12750.0,20443.336666666666,20259.0,21719.65,23572.21,24430.0,26288.403333333332,25678.0,31283.050000000003,32435.969999999998,33160.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7738188.533333333,7732525.0,7805313.5,7814105.0,7827720.0,6792239.466666667,6798300.0,6839135.0,6847281.6,6850020.0,48834.89333333333,48762.0,49248.0,49248.0,49734.0
975->690,300,4291.95,3944.0,8038.750000000002,10378.009999999998,12281.0,20415.176666666666,20322.5,20904.850000000002,22781.319999999996,25173.0,24708.246666666666,24274.5,29173.25,31229.98,33263.0,10.0,10.0,10.0,10.0,10.0,99.79222,100.0,100.0,100.0,100.0,7750280.966666667,7746700.0,7809151.5,7813840.7,7822880.0,6786092.9,6784100.0,6839939.0,6847882.9,6857170.0,28839.266666666666,28838.0,28857.0,28857.0,28857.0
975->1252,300,4843.703333333333,4702.0,5521.650000000004,8064.299999999997,9717.0,20377.636666666665,20236.0,21686.95,22400.029999999995,23277.0,25222.46,24974.5,26920.2,28801.369999999995,30438.0,10.0,10.0,10.0,10.0,10.0,99.72388466666666,100.0,100.0,100.0,100.0,7747935.633333334,7741765.0,7810171.5,7816131.6,7819500.0,6782689.5,6780535.0,6842025.0,6848426.3,6852770.0,36629.24,36626.0,36626.0,36626.0,37112.0
1252->975,300,5665.55,5229.5,9149.700000000003,11288.11,12122.0,20405.853333333333,20271.5,21417.25,22072.249999999996,23612.0,26072.486666666668,25537.0,29974.000000000004,31964.199999999993,34856.0,10.0,10.0,10.0,10.0,10.0,99.001111,99.0,99.0,99.0,99.3333,7737676.4,7730385.0,7805830.0,7813605.5,7953700.0,6780072.433333334,6786200.0,6836523.0,6841681.4,6849280.0,32217.403333333332,32245.0,32245.0,32245.0,32245.0
1530->1252,300,6924.346666666666,6180.0,12045.800000000001,12905.22,14174.0,20377.853333333333,20251.5,21144.6,21862.55,22707.0,27303.29,26448.0,32728.45,33416.35,35222.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7727467.0,7707855.0,7797771.5,7806601.2,7819830.0,6783786.966666667,6804065.0,6829911.5,6836466.3,6945270.0,40476.76666666667,40519.0,41006.0,41006.0,41006.0
690->975,300,4426.216666666666,4058.5,7579.550000000002,10269.239999999998,11547.0,20323.793333333335,20257.0,20736.75,21482.32,22847.0,24751.073333333334,24349.0,29035.4,30877.699999999997,31840.0,10.0,10.0,10.0,10.0,10.0,99.0,99.0,99.0,99.0,99.0,7721002.9,7695260.0,7783075.5,7790276.2,7873250.0,6773245.766666667,6792490.0,6815235.0,6820930.0,6826630.0,30298.0,30298.0,30298.0,30298.0,30298.0
