ts_us,device_id,gpu_name,mode,from_gpu_mhz,from_mem_mhz,to_gpu_mhz,to_mem_mhz,order,api_mem_us,api_gpu_us,api_total_us,settle_total_us,settle_after_calls_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,final_mem_mhz,power_mw,energy_mj,status
3776870256,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776870827,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776871291,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776871733,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776872177,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776872619,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776873067,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776873513,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776873951,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776874389,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776874827,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776875279,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776875722,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776876161,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776876603,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776877050,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776877493,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776877932,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776878375,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776878823,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776879274,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776879724,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85770648,Not Supported
3776882291,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776882739,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776883181,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776883623,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776884079,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776884524,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776884965,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776885414,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776885862,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776886314,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776886761,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776887206,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776887653,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776888107,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776888551,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776888993,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776889432,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776889870,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776890324,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776890765,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776891214,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776891659,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776892109,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776892556,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776893005,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776893453,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776893904,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776894352,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776894792,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776895230,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776895676,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776896120,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776896565,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776897011,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776897450,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776897892,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776898334,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776898783,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776899226,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776899674,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85772638,Not Supported
3776902159,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776902610,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776903062,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776903507,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776903953,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776904406,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776904847,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776905290,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776905730,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776906172,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776906611,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776907054,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776907497,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776907943,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776908383,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776908824,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776909274,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776909722,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776910165,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776910611,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776911064,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776911513,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776911959,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776912405,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776912850,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776913300,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776913744,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776914188,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776914637,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776915085,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776915533,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776915971,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776916418,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776916865,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776917314,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,1,0,1,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
3776917757,0,"Tesla V100-SXM2-32GB",compute,135,877,600,877,mem_then_gpu,0,0,0,0,0,0,5,2000,2000,0,0,162315,85775903,Not Supported
