ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
16690044656,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3760,24342,20581,10,10,2000,15000,412,100,3,7.71692e+06,6.73722e+06,25935,587189656,ok(locked)
16690366283,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3796,24414,20617,10,10,2000,15000,412,100,3,7.91267e+06,6.94907e+06,25935,587197836,ok(locked)
16690688255,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3690,24382,20691,10,10,2000,15000,412,100,3,7.91243e+06,6.90732e+06,25935,587206040,ok(locked)
16691010815,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4015,25024,21008,10,10,2000,15000,412,100,3,7.70493e+06,6.88618e+06,25935,587214250,ok(locked)
16691332061,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3590,24301,20710,10,10,2000,15000,412,100,3,7.9119e+06,6.74492e+06,25935,587222440,ok(locked)
16691654221,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4226,24792,20564,10,10,2000,15000,412,100,3,7.79345e+06,6.9521e+06,25935,587230649,ok(locked)
16691995228,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3617,24228,20610,10,10,2000,15000,412,100,3,7.78872e+06,6.7456e+06,25935,587239332,ok(locked)
16692317886,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4053,24957,20903,10,10,2000,15000,412,100,3,7.84897e+06,6.95628e+06,25935,587247556,ok(locked)
16692638802,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3514,24208,20693,10,10,2000,15000,412,100,3,7.73042e+06,6.73912e+06,25935,587255730,ok(locked)
16692960633,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3881,24495,20612,10,10,2000,15000,412,100,3,7.7907e+06,6.80442e+06,25935,587263924,ok(locked)
16693218368,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9406,31120,21714,10,10,2000,15000,412,100,3,7.8012e+06,6.85762e+06,25935,587270488,ok(locked)
16693540117,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3924,24647,20722,10,10,2000,15000,412,100,3,7.72678e+06,6.74062e+06,25935,587278686,ok(locked)
16693881316,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3622,24277,20654,10,10,2000,15000,412,100,3,7.91047e+06,6.73535e+06,25935,587287368,ok(locked)
16694223609,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4013,24705,20691,10,10,2000,15000,412,100,3,7.72112e+06,6.91718e+06,25935,587296087,ok(locked)
16694544851,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3552,24402,20849,10,10,2000,15000,412,100,3,7.74377e+06,6.77877e+06,25935,587304258,ok(locked)
16694866742,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4161,24732,20570,10,10,2000,15000,412,100,3,7.72093e+06,6.74638e+06,25935,587312465,ok(locked)
