ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
14087544073,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3382,23399,20016,10,10,2000,8000,412,3,0,234683,209317,24474,507517647,ok(locked)
14087863452,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3458,23592,20133,10,10,2000,8000,412,3,0,234700,205450,23987,507525241,ok(locked)
14088182856,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3417,23474,20056,10,10,2000,8000,412,3,0,234683,224067,24474,507532820,ok(locked)
14088502255,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3474,23589,20114,10,10,2000,8000,412,3,0,256033,224067,23987,507540394,ok(locked)
14088827907,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9311,29854,20542,10,10,2000,8000,412,3,0,238367,205433,24474,507548139,ok(locked)
14089147317,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3529,23645,20115,10,10,2000,8000,412,3,0,234717,205417,23987,507555701,ok(locked)
14089472251,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8827,29013,20185,10,10,2000,8000,412,3,0,234700,205883,24474,507563431,ok(locked)
14089795299,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7358,27480,20121,10,10,2000,8000,412,3,0,234717,224100,24474,507571105,ok(locked)
14090118222,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7155,27252,20095,10,10,2000,8000,412,3,0,256033,205417,23987,507578771,ok(locked)
14090441534,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7292,27408,20115,10,10,2000,8000,412,3,0,234717,224100,24474,507586400,ok(locked)
14090766175,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8643,28868,20224,10,10,2000,8000,412,3,0,234700,224067,24474,507594092,ok(locked)
14091089097,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6924,27055,20129,10,10,2000,8000,412,3,0,234683,205417,23987,507601742,ok(locked)
14091412962,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7857,27992,20134,10,10,2000,8000,412,3,0,256033,224567,24474,507609384,ok(locked)
14091734589,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5436,25570,20133,10,10,2000,8000,412,3,0,236017,209183,23987,507617012,ok(locked)
14092057880,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7408,27405,19996,10,10,2000,8000,412,3,0,234733,224100,24474,507624644,ok(locked)
14092381829,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7748,28277,20528,10,10,2000,8000,412,3,0,234700,224100,23987,507632326,ok(locked)
14092701556,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3591,23685,20093,10,10,2000,8000,412,3,0,256050,205417,23987,507639879,ok(locked)
14093026201,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8697,28677,19979,10,10,2000,8000,412,3,0,234700,205400,23987,507647530,ok(locked)
14093349525,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7448,27621,20171,10,10,2000,8000,412,3,0,234700,205400,24474,507655164,ok(locked)
14093672176,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6688,26793,20104,10,10,2000,8000,412,3,0,256100,224100,23987,507662766,ok(locked)
14093997962,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9572,30166,20593,10,10,2000,8000,412,3,0,234717,224100,24474,507670437,ok(locked)
14094319271,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5552,25592,20039,10,10,2000,8000,412,3,0,234717,224100,24474,507678037,ok(locked)
14094644732,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9173,29650,20476,10,10,2000,8000,412,3,0,234700,205400,24474,507685720,ok(locked)
14094966416,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5875,25980,20104,10,10,2000,8000,412,3,0,234717,205383,24474,507693314,ok(locked)
14095289942,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7735,27752,20016,10,10,2000,8000,412,3,0,234717,205417,23987,507700940,ok(locked)
14095615043,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,9180,29310,20127,10,10,2000,8000,412,3,0,234717,224517,24474,507708625,ok(locked)
14095934989,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,4057,24168,20109,10,10,2000,8000,412,3,0,256033,224100,24474,507716175,ok(locked)
14096259553,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8716,28725,20008,10,10,2000,8000,412,3,0,256033,224083,23987,507723824,ok(locked)
14096581300,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,5862,26049,20186,10,10,2000,8000,412,3,0,234717,223700,24474,507731398,ok(locked)
14096905692,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8419,28549,20129,10,10,2000,8000,412,3,0,256033,224083,23987,507739052,ok(locked)
14097230391,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8687,28821,20133,10,10,2000,8000,412,3,0,234700,205433,24474,507746705,ok(locked)
14097550109,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3756,23980,20224,10,10,2000,8000,412,3,0,234717,205417,23987,507754246,ok(locked)
14097874390,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,8597,28590,19992,10,10,2000,8000,412,3,0,234717,224117,24474,507761907,ok(locked)
14098197603,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7284,27434,20149,10,10,2000,8000,412,3,0,256050,224050,23987,507769533,ok(locked)
14098520789,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7381,27420,20038,10,10,2000,8000,412,3,0,235550,213883,24474,507777143,ok(locked)
14098843588,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7148,27140,19991,10,10,2000,8000,412,3,0,256033,224083,23987,507784739,ok(locked)
14099166856,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,7634,27648,20013,10,10,2000,8000,412,3,0,234700,205433,23987,507792351,ok(locked)
14099488970,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,6140,26352,20211,10,10,2000,8000,412,3,0,256050,224067,23987,507799932,ok(locked)
14099815856,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,10420,30481,20060,10,10,2000,8000,412,3,0,234850,224100,24474,507807637,ok(locked)
14100135367,0,"Tesla V100-SXM2-32GB",comm,locked,877,135,412,3471,23637,20165,10,10,2000,8000,412,3,0,234717,206050,23987,507815166,ok(locked)
