ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
12722716631,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8778,36384,27606,10,10,2000,15000,412,100,0,50,75,33705,418278282,ok(locked)
12722969965,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3242,23428,20185,10,10,2000,15000,412,100,0,75,50,33219,418285852,ok(locked)
12723381519,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3220,23654,20433,10,10,2000,15000,412,100,0,150,50,32732,418298008,ok(locked)
12723682320,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7303,34969,27665,10,10,2000,15000,412,100,0,50,50,33705,418306968,ok(locked)
12724023570,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3270,23563,20292,10,10,2000,15000,412,100,0,50,50,32732,418317035,ok(locked)
12724344338,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3291,23694,20402,10,10,2000,15000,412,100,0,66.6667,66.6667,32732,418326489,ok(locked)
12724608954,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9767,37062,27294,10,10,2000,15000,412,100,0,50,75,33219,418334376,ok(locked)
12725193670,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3298,25243,21943,10,10,2000,15000,412,100,0,83.3333,83.3333,32732,418351381,ok(locked)
12725714971,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3623,24300,20676,10,10,2000,15000,412,100,0,83.3333,66.6667,32732,418366580,ok(locked)
12725973854,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,7314,33077,25762,10,10,2000,15000,412,100,0,50,50,33219,418374222,ok(locked)
12726228704,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3218,24359,21140,10,10,2000,15000,412,100,0,50,75,32732,418381731,ok(locked)
12726480076,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3404,23832,20427,10,10,2000,15000,412,100,0,50,75,32732,418389124,ok(locked)
12726880938,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3298,24383,21084,10,10,2000,15000,412,100,0,50,66.6667,32732,418400828,ok(locked)
