ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
11479735807,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3350,23622,20271,10,10,2000,8000,412,100,0,50,50,31758,329678915,ok(locked)
11480240061,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9757,37226,27468,10,10,2000,8000,412,100,0,25,650,32245,329693141,ok(locked)
11480604079,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3253,24638,21384,10,10,2000,8000,412,100,0,1050,1616.67,32245,329703428,ok(locked)
11481107644,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8197,35930,27732,10,10,2000,8000,412,100,0,50,75,32245,329717639,ok(locked)
11481549963,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3291,24668,21377,10,10,2000,8000,412,100,0,50,533.333,31758,329730115,ok(locked)
11481798740,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3202,23410,20207,10,10,2000,8000,412,100,0,75,50,31758,329737166,ok(locked)
11482280744,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,9681,36968,27286,10,10,2000,8000,412,100,0,50,450,32245,329750762,ok(locked)
11482553718,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3283,24120,20836,10,10,2000,8000,412,100,0,50,75,31758,329758514,ok(locked)
11482826298,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3283,24736,21451,10,10,2000,8000,412,100,0,50,50,31758,329766234,ok(locked)
11483109111,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,8498,36120,27621,10,10,2000,8000,412,100,0,50,50,32245,329774282,ok(locked)
11483387943,0,"Tesla V100-SXM2-32GB",compute,locked,877,135,412,3391,32046,28654,10,10,2000,8000,412,100,0,50,75,32245,329782202,ok(locked)
