ts_us,device_id,gpu_name,mode,api_kind,mem_fixed_mhz,from_gpu_mhz,to_gpu_mhz,api_us,settle_total_us,settle_after_call_us,polls,stable_n,poll_us,timeout_ms,final_gpu_mhz,gpu_util_pct,mem_util_pct,pcie_tx_kbps,pcie_rx_kbps,power_mw,energy_mj,status
7734193219,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3254,23312,20057,10,10,2000,8000,412,0,0,50,50,23987,179959492,ok(locked)
7734529338,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3324,23403,20078,10,10,2000,8000,412,0,0,50,725,23987,179967398,ok(locked)
7734908981,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3435,23499,20063,10,10,2000,8000,412,0,0,50,50,23987,179976327,ok(locked)
7735208569,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3470,23783,20312,10,10,2000,8000,412,0,0,50,50,23987,179983376,ok(locked)
7735719018,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3563,23576,20012,10,10,2000,8000,412,0,0,50,50,23987,179995380,ok(locked)
7736158869,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3524,23616,20090,10,10,2000,8000,412,0,0,50,50,23987,180005724,ok(locked)
7736478178,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3469,23517,20047,10,10,2000,8000,412,0,0,50,1250,23987,180013239,ok(locked)
7736817658,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3526,23573,20046,10,10,2000,8000,412,0,0,50,50,23987,180021228,ok(locked)
7737156716,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3380,23375,19993,10,10,2000,8000,412,0,0,50,50,23987,180029207,ok(locked)
7737506074,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3545,23490,19943,10,10,2000,8000,412,0,0,50,650,23987,180037424,ok(locked)
7738042644,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3340,23345,20004,10,10,2000,8000,412,0,0,50,50,23987,180050038,ok(locked)
7738301820,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3489,23673,20183,10,10,2000,8000,412,0,0,50,50,23987,180056141,ok(locked)
7738751846,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3356,23474,20117,10,10,2000,8000,412,0,0,50,650,23987,180066727,ok(locked)
7739011378,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3457,23615,20157,10,10,2000,8000,412,0,0,50,50,23987,180072841,ok(locked)
7739323564,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,6438,26475,20036,10,10,2000,8000,412,0,0,50,50,23987,180080184,ok(locked)
7739713135,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3386,23509,20122,10,10,2000,8000,412,0,0,50,725,23987,180089345,ok(locked)
7740129973,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,10158,30774,20614,10,10,2000,8000,412,0,0,50,50,23987,180099146,ok(locked)
7740449801,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,4026,24143,20115,10,10,2000,8000,412,0,0,50,1450,23987,180106664,ok(locked)
7740879741,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3588,23681,20092,10,10,2000,8000,412,0,0,100,50,23987,180116781,ok(locked)
7741295624,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,9041,29714,20672,10,10,2000,8000,412,0,0,50,50,23987,180126557,ok(locked)
7741725452,0,"Tesla V100-SXM2-32GB",idle,locked,877,135,412,3431,23434,20002,10,10,2000,8000,412,0,0,75,50,23987,180136663,ok(locked)
