transition,n,api_us_mean,api_us_p50,api_us_p95,api_us_p99,api_us_max,settle_after_call_us_mean,settle_after_call_us_p50,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_max,settle_total_us_mean,settle_total_us_p50,settle_total_us_p95,settle_total_us_p99,settle_total_us_max,polls_mean,polls_p50,polls_p95,polls_p99,polls_max,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_p99,gpu_util_pct_max,pcie_tx_kbps_mean,pcie_tx_kbps_p50,pcie_tx_kbps_p95,pcie_tx_kbps_p99,pcie_tx_kbps_max,pcie_rx_kbps_mean,pcie_rx_kbps_p50,pcie_rx_kbps_p95,pcie_rx_kbps_p99,pcie_rx_kbps_max,power_mw_mean,power_mw_p50,power_mw_p95,power_mw_p99,power_mw_max
135->412,300,5172.046666666667,3343.0,9880.75,10688.39,15009.0,22741.006666666668,21393.0,26946.4,28052.82,28576.0,27914.156666666666,24793.5,36254.7,37495.68,37967.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,79.833332,50.0,127.50000000000057,850.0,925.0,179.44444899999996,50.0,725.0,2256.9999999999936,3725.0,30846.68666666667,30785.0,31272.0,31272.0,31272.0
412->135,300,3328.8866666666668,3152.5,3627.05,8653.039999999997,9173.0,20858.486666666668,20387.0,22711.2,24885.91999999999,27850.0,24188.47,23585.0,26206.300000000003,31920.429999999986,35092.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,69.05556200000001,50.0,100.8333500000002,286.3329999999973,633.333,128.52779366666667,66.6667,483.333,1619.003299999998,2166.67,27859.1,27865.0,27883.0,27883.0,27883.0
412->690,300,3708.7266666666665,3420.0,4507.300000000031,9436.919999999998,10136.0,21225.126666666667,21231.5,22720.600000000006,24755.26,25586.0,24935.083333333332,24650.5,28795.100000000002,33307.729999999996,33778.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,72.83333866666666,50.0,116.667,566.8336599999999,600.0,138.44444766666666,66.6667,483.333,2004.9999999999955,2500.0,47177.71333333333,46816.0,49248.0,49734.0,50221.0
1530->1252,300,6660.493333333333,6031.0,11559.5,12369.8,12805.0,20292.166666666668,20018.0,21338.45,23412.06,47863.0,26953.8,26055.5,32316.05,33375.86,54695.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,67.5,50.0,150.0,850.2499999999998,900.0,240.5,50.0,1250.0,3725.0,5900.0,104922.95,105462.0,105947.0,106433.0,106433.0
975->690,300,4466.58,3780.0,8497.850000000002,9936.399999999998,12166.0,20212.79,20076.5,20994.9,22452.479999999992,24143.0,24680.58,23934.5,28780.3,30460.92,32205.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,65.5,50.0,150.0,775.4999999999995,875.0,208.41666666666666,50.0,1250.0,3151.249999999999,6200.0,52884.62333333334,53139.0,53139.0,53139.0,53139.0
690->412,300,4162.38,3752.5,8030.350000000001,10165.119999999999,10567.0,20368.943333333333,20127.5,21543.2,22140.71,22607.0,24532.52,23881.0,28829.050000000003,31813.01,32217.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,70.500002,50.0,150.0,617.5003299999993,850.0,190.138891,50.0,798.7500000000055,1353.4999999999968,5800.0,35480.236666666664,35652.0,35652.0,35671.46999999998,42466.0
1252->1530,300,5643.126666666667,5266.0,9360.400000000001,11365.499999999996,11891.0,20186.35,19983.5,21623.35,22118.169999999995,23201.0,25830.593333333334,25263.5,29409.350000000013,31681.2,33923.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,77.25,50.0,150.0,925.9999999999991,1750.0,313.4166666666667,50.0,1300.0,5950.5,12350.0,138287.41,138289.0,139744.0,140620.93,141105.0
975->1252,300,4978.28,4554.0,8174.650000000002,10575.869999999995,11816.0,20117.036666666667,19995.0,20932.9,21783.17,24317.0,25096.43666666667,24565.0,28566.15,31457.539999999997,34157.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,73.111111,50.0,150.0,875.0,1700.0,172.91666666666666,50.0,1250.0,1409.7499999999911,3725.0,86729.25333333333,86587.0,87096.3,87558.0,88530.0
1252->975,300,5538.163333333333,5067.0,9227.300000000001,11400.31,13905.0,20116.84,20025.0,20489.850000000002,21664.03,24115.0,25656.176666666666,25105.0,29477.45,31620.91,34291.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,57.0,50.0,150.0,250.9999999999991,625.0,222.75,50.0,1250.0,1925.999999999999,3000.0,69099.63333333333,69145.0,69631.0,69631.0,69631.0
690->975,300,4872.15,3964.5,9410.250000000002,10891.2,12143.0,20130.833333333332,20032.5,20687.3,21592.289999999997,22889.0,25004.156666666666,24024.0,29838.050000000003,31240.08,32893.0,10.0,10.0,10.0,10.0,10.0,100.0,100.0,100.0,100.0,100.0,69.58333333333333,50.0,150.0,825.0,1600.0,214.91666666666666,50.0,1251.2500000000002,2232.9999999999927,3725.0,60368.21666666667,60435.0,60922.0,60922.0,60922.0
