transition,n,api_us_mean,api_us_p50,api_us_p95,api_us_p99,api_us_max,settle_after_call_us_mean,settle_after_call_us_p50,settle_after_call_us_p95,settle_after_call_us_p99,settle_after_call_us_max,settle_total_us_mean,settle_total_us_p50,settle_total_us_p95,settle_total_us_p99,settle_total_us_max,polls_mean,polls_p50,polls_p95,polls_p99,polls_max,gpu_util_pct_mean,gpu_util_pct_p50,gpu_util_pct_p95,gpu_util_pct_p99,gpu_util_pct_max,pcie_tx_kbps_mean,pcie_tx_kbps_p50,pcie_tx_kbps_p95,pcie_tx_kbps_p99,pcie_tx_kbps_max,pcie_rx_kbps_mean,pcie_rx_kbps_p50,pcie_rx_kbps_p95,pcie_rx_kbps_p99,pcie_rx_kbps_max,power_mw_mean,power_mw_p50,power_mw_p95,power_mw_p99,power_mw_max
975->1252,300,5019.006666666667,4552.0,8305.25,10249.81,12503.0,20154.24,20003.5,21219.45,22370.89999999999,23973.0,25174.39,24585.5,28635.600000000002,30616.059999999998,33012.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,71.83333333333333,50.0,150.0,850.9999999999991,1800.0,270.6666666666667,50.0,1300.0,3685.74999999999,7300.0,35162.746666666666,35166.0,35166.0,35166.0,35652.0
1252->1530,300,5831.266666666666,5264.0,10877.2,12151.559999999998,12393.0,20192.153333333332,19998.0,21629.1,22033.609999999997,23721.0,26024.536666666667,25291.0,31137.15,32708.149999999994,34029.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,69.75,50.0,150.0,577.4999999999977,1600.0,212.25,50.0,1250.0,3056.7499999999936,5900.0,47075.31333333333,47302.0,47302.0,47306.869999999995,47789.0
135->412,300,4263.833333333333,3494.0,9311.15,10204.08,10975.0,20192.503333333334,20095.0,20679.45,21866.26,21963.0,24457.48,23627.5,29667.4,30669.059999999998,31114.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,70.75,50.0,150.0,552.4999999999977,1700.0,267.5833333333333,50.0,1300.0,3869.999999999982,6100.0,23986.786666666667,23987.0,23987.0,23987.0,23987.0
1252->975,300,5541.113333333334,5061.5,9008.300000000005,11362.52,13204.0,20127.953333333335,20017.0,20630.65,21808.249999999996,23853.0,25670.183333333334,25102.0,29593.65,31512.6,33744.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,69.75,50.0,150.0,601.9999999999982,1100.0,199.58333333333334,50.0,1250.0,2950.25,4650.0,30762.273333333334,30785.0,30785.0,30785.0,30785.0
975->690,300,4657.933333333333,3818.0,8624.45,10114.739999999998,12638.0,20166.44,20071.0,20660.35,21803.629999999997,23720.0,24825.503333333334,23944.0,29383.7,30628.3,32891.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,70.25,50.0,150.0,800.2499999999998,875.0,244.5,50.0,1300.0,2483.999999999992,3725.0,27384.306666666667,27378.0,27396.0,27396.0,27865.0
690->975,300,4615.783333333334,3914.0,8747.250000000002,10078.19,11219.0,20136.706666666665,20029.0,20734.25,21759.85,23454.0,24753.69,23965.0,29366.850000000002,30423.13,31779.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,72.41666666666667,50.0,150.0,854.4999999999959,1700.0,225.33333333333334,50.0,1250.0,3400.25,7400.0,28854.93,28838.0,28857.0,29325.0,29325.0
1530->1252,300,6662.2,6057.0,11490.250000000002,12851.8,13679.0,20149.03,20020.5,20762.1,21657.329999999994,23692.0,26812.393333333333,26084.0,32074.1,33049.56,34163.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,59.666666666666664,50.0,150.0,205.499999999995,875.0,273.9166666666667,50.0,1300.0,3720.999999999981,6000.0,39054.25,39059.0,39546.0,39546.0,39546.0
690->412,300,4994.303333333333,3831.5,9825.85,10653.14,10961.0,20186.123333333333,20081.5,20937.95,21543.17,21866.0,25181.503333333334,24015.0,29937.3,30863.809999999998,31193.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,72.91666666666667,50.0,150.0,480.2499999999952,2300.0,270.4166666666667,50.0,1300.0,3746.74999999998,7400.0,24958.923333333332,24961.0,24961.0,24961.0,24961.0
412->135,300,4170.906666666667,3422.5,8605.650000000001,9697.449999999999,10006.0,20190.27666666667,20103.0,20672.65,21495.589999999997,22682.0,24362.293333333335,23574.5,29035.350000000002,30058.769999999997,30352.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,71.91666666666667,50.0,150.0,303.24999999999704,1700.0,182.08333333333334,50.0,1250.0,2925.999999999999,4300.0,23500.0,23500.0,23500.0,23500.0,23500.0
412->690,300,4428.94,3675.0,9118.25,10256.859999999999,10812.0,20205.46,20085.5,20841.5,21267.769999999993,22517.0,24635.58,23798.5,29634.4,30764.48,31537.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,56.47222233333334,50.0,150.0,200.0,550.0,254.66666666666666,50.0,1300.0,3204.9999999999955,5900.0,26591.26,26422.0,27378.0,27396.0,27396.0
